Department,FullTimePartTime,Tenure,ManagementLevel,HiltonCSR,WellInformed,JobSatisfaction,RewardsJustice,GenX,Millennial,GenZ,MCPaysat,all_eng,all_workenv,all_treat,all_adeq,all_reward,all_learn,all_wrklfe,all_mgt,ClearJobExpectations,IntentToStayHighLow
12,3.0,7.0,4,5.0,5.0,5.0,5.0,1,0,0,-1.62,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
36,3.0,2.0,3,5.0,5.0,4.0,4.0,1,0,0,0.3799999999999999,4.0,4.357142857142857,4.0,4.5,4.0,4.3125,4.0,4.625,4.0,0
21,3.0,8.0,3,5.0,5.0,5.0,5.0,1,0,0,-2.62,5.0,5.0,5.0,5.0,4.0,5.0,4.5,5.0,5.0,1
28,3.0,6.0,2,4.0,4.0,4.0,3.0,0,1,0,-0.6200000000000001,4.0,4.0,4.0,3.5,4.0,3.375,3.0,3.875,3.0,0
29,3.0,3.0,3,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
21,3.0,7.0,4,5.0,4.0,4.0,2.0,0,1,0,-1.62,3.7,3.0,3.25,5.0,2.5,2.9375,3.5,2.125,1.5,0
7,5.0,7.0,3,5.0,5.0,5.0,5.0,1,0,0,-1.62,5.0,4.857142857142857,4.5,5.0,5.0,5.0,4.0,5.0,5.0,1
21,4.0,7.0,2,4.0,4.0,4.0,4.0,1,0,0,0.3799999999999999,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
26,3.0,6.0,3,5.0,4.0,5.0,4.0,1,0,0,-1.62,4.8,4.5,4.25,5.0,5.0,4.625,5.0,4.375,4.5,0
21,4.0,2.0,2,5.0,5.0,5.0,5.0,0,1,0,1.38,5.0,4.571428571428571,4.5,5.0,5.0,4.875,4.5,4.25,4.5,0
21,3.0,2.0,4,1.0,1.0,1.0,1.0,1,0,0,-2.62,1.4,1.1428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2,4.0,8.0,2,5.0,5.0,5.0,5.0,1,0,0,-0.6200000000000001,5.0,4.571428571428571,5.0,4.5,5.0,5.0,4.0,5.0,4.5,1
16,3.0,6.0,3,3.0,3.0,4.0,4.0,0,0,0,0.3799999999999999,4.0,3.7142857142857144,4.25,4.0,4.0,3.625,4.5,3.75,4.0,0
36,3.0,2.0,3,5.0,5.0,5.0,5.0,0,1,0,0.3799999999999999,4.8,4.571428571428571,4.5,4.5,5.0,3.375,5.0,4.375,5.0,0
22,4.0,8.0,1,5.0,5.0,5.0,5.0,0,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
8,3.0,6.0,3,5.0,5.0,5.0,5.0,0,1,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
16,3.0,7.0,3,4.0,4.0,4.0,4.0,1,0,0,-0.6200000000000001,4.6,4.5,4.5,4.5,3.0,4.375,4.5,4.75,4.0,0
5,5.0,7.0,2,4.0,4.0,4.0,4.0,1,0,0,0.3799999999999999,4.7,4.571428571428571,5.0,4.0,4.0,4.0625,4.5,5.0,4.5,1
21,3.0,8.0,3,5.0,5.0,5.0,5.0,0,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
29,4.0,8.0,2,4.0,4.0,4.0,4.0,0,0,0,-1.62,4.0,4.714285714285714,4.25,4.0,4.0,4.8125,5.0,4.875,4.0,1
21,3.0,7.0,4,4.0,4.0,4.0,4.0,1,0,0,0.3799999999999999,4.3,3.857142857142857,4.25,4.0,4.0,3.5,4.0,3.75,3.5,0
7,3.0,6.0,2,4.0,3.0,4.0,4.0,0,1,0,-0.6200000000000001,3.8,4.0,4.0,3.5,4.5,3.5625,3.5,3.5,3.5,0
21,3.0,7.0,4,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,4.714285714285714,4.5,5.0,5.0,4.1875,4.0,4.0,4.0,0
16,3.0,4.0,3,4.0,4.0,4.0,4.0,0,1,0,-2.62,3.8,3.7857142857142856,4.0,3.5,4.0,4.0,4.0,4.0,3.5,0
7,4.0,4.0,2,5.0,5.0,5.0,5.0,0,1,0,0.3799999999999999,5.0,4.857142857142857,5.0,5.0,5.0,4.5,4.5,4.75,4.5,1
13,3.0,8.0,2,5.0,5.0,5.0,4.0,0,0,0,0.3799999999999999,5.0,4.857142857142857,5.0,5.0,4.5,4.875,5.0,5.0,5.0,1
13,5.0,8.0,3,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
28,4.0,4.0,3,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
21,3.0,6.0,3,4.0,3.0,4.0,4.0,0,1,0,0.3799999999999999,3.8,3.5714285714285716,3.5,4.0,4.0,3.75,4.0,4.0,4.0,0
29,3.0,4.0,3,3.0,2.0,2.0,5.0,0,1,0,1.38,4.6,4.571428571428571,5.0,5.0,5.0,5.0,5.0,3.5,5.0,0
5,3.0,7.0,3,5.0,5.0,5.0,5.0,0,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
16,3.0,1.0,3,5.0,5.0,5.0,5.0,0,1,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
2,4.0,4.0,2,5.0,5.0,5.0,4.0,0,1,0,-0.6200000000000001,5.0,5.0,5.0,5.0,4.0,4.75,4.5,5.0,3.5,0
7,3.0,6.0,3,4.0,4.0,4.0,2.0,0,1,0,0.3799999999999999,3.4,3.642857142857143,4.0,4.0,4.0,4.0,4.0,3.75,4.0,0
5,4.0,8.0,2,5.0,5.0,5.0,4.0,1,0,0,0.3799999999999999,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
21,3.0,8.0,3,5.0,5.0,5.0,5.0,0,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
19,3.0,8.0,2,4.0,4.0,4.0,4.0,0,1,0,-1.62,4.0,4.428571428571429,5.0,4.5,3.0,4.4375,3.0,4.625,4.5,0
21,3.0,8.0,3,5.0,5.0,5.0,5.0,0,1,0,1.38,5.0,5.0,5.0,5.0,5.0,4.8125,5.0,5.0,5.0,1
21,3.0,7.0,1,5.0,4.0,4.0,4.0,0,1,0,0.3799999999999999,4.0,4.571428571428571,4.0,4.0,4.0,3.875,4.5,4.0,4.0,0
16,5.0,2.0,3,4.0,4.0,4.0,4.0,1,0,0,-0.6200000000000001,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.125,4.5,0
16,3.0,2.0,3,3.0,3.0,3.0,3.0,0,0,1,1.38,4.3,4.428571428571429,4.5,4.5,4.5,4.625,4.0,4.75,4.5,0
8,3.0,7.0,3,4.0,4.0,4.0,4.0,0,1,0,-0.6200000000000001,4.0,3.857142857142857,4.0,4.0,4.0,4.25,4.0,4.25,4.0,0
29,3.0,6.0,3,5.0,5.0,5.0,4.0,0,0,0,0.3799999999999999,4.5,4.285714285714286,3.75,4.0,4.0,4.0,4.0,4.125,4.0,1
28,3.0,5.0,2,4.0,4.0,4.0,3.0,0,1,0,0.3799999999999999,4.0,3.857142857142857,3.75,5.0,4.0,4.6875,3.5,4.125,4.5,0
